# East Commonlands - Simplified zone geometry
# Layer 0: Zone terrain and landmarks
# Zone boundary (large outdoor zone)
L -3000, -3000, 0, 3000, -3000, 0, 100, 100, 100
L 3000, -3000, 0, 3000, 3000, 0, 100, 100, 100
L 3000, 3000, 0, -3000, 3000, 0, 100, 100, 100
L -3000, 3000, 0, -3000, -3000, 0, 100, 100, 100
# The Tunnel (EC Tunnel - classic trading spot)
L -200, -50, 0, -200, 50, 0, 200, 200, 200
L -200, 50, 0, 200, 50, 0, 200, 200, 200
L 200, 50, 0, 200, -50, 0, 200, 200, 200
L 200, -50, 0, -200, -50, 0, 200, 200, 200
# Road east-west
L -3000, 0, 0, 3000, 0, 0, 150, 100, 0
# Road north-south fork
L 0, 0, 0, 0, -3000, 0, 150, 100, 0
# River (runs roughly north-south on east side)
L 1500, -3000, 0, 1500, -1000, 0, 70, 130, 180
L 1500, -1000, 0, 1600, 0, 0, 70, 130, 180
L 1600, 0, 0, 1500, 1000, 0, 70, 130, 180
L 1500, 1000, 0, 1500, 3000, 0, 70, 130, 180
# Druid ring stones
L -1800, 1700, 0, -1750, 1800, 0, 180, 180, 180
L -1750, 1800, 0, -1650, 1800, 0, 180, 180, 180
L -1650, 1800, 0, -1600, 1700, 0, 180, 180, 180
L -1600, 1700, 0, -1650, 1600, 0, 180, 180, 180
L -1650, 1600, 0, -1750, 1600, 0, 180, 180, 180
L -1750, 1600, 0, -1800, 1700, 0, 180, 180, 180
# Guard tower (near tunnel)
L -500, -100, 0, -400, -100, 0, 128, 128, 128
L -400, -100, 0, -400, 100, 0, 128, 128, 128
L -400, 100, 0, -500, 100, 0, 128, 128, 128
L -500, 100, 0, -500, -100, 0, 128, 128, 128
# Zone line to West Freeport (east)
L 3000, -100, 0, 3000, 100, 0, 199, 21, 133
# Zone line to Nektulos (west)
L -3000, -100, 0, -3000, 100, 0, 199, 21, 133
