# Permafrost Caverns - Simplified zone geometry
# Layer 0: Cave walls and passages
# Entrance cave
L -100, -400, 0, 100, -400, 0, 200, 200, 200
L 100, -400, 0, 100, -200, 0, 200, 200, 200
L -100, -400, 0, -100, -200, 0, 200, 200, 200
# Main hall
L -300, -200, 0, 300, -200, 0, 200, 200, 200
L 300, -200, 0, 300, 200, 0, 200, 200, 200
L 300, 200, 0, -300, 200, 0, 200, 200, 200
L -300, 200, 0, -300, -200, 0, 200, 200, 200
# North passage to Vox
L -50, 200, 0, -50, 500, 0, 150, 150, 150
L 50, 200, 0, 50, 500, 0, 150, 150, 150
# Vox's lair
L -200, 500, 0, 200, 500, 0, 150, 150, 150
L 200, 500, 0, 200, 800, 0, 150, 150, 150
L 200, 800, 0, -200, 800, 0, 150, 150, 150
L -200, 800, 0, -200, 500, 0, 150, 150, 150
# Ice bridge (east wing)
L 300, -50, 0, 600, -50, 0, 70, 130, 180
L 300, 50, 0, 600, 50, 0, 70, 130, 180
# East room
L 600, -150, 0, 800, -150, 0, 200, 200, 200
L 800, -150, 0, 800, 150, 0, 200, 200, 200
L 800, 150, 0, 600, 150, 0, 200, 200, 200
L 600, 150, 0, 600, -150, 0, 200, 200, 200
# West wing passage
L -300, -50, 0, -500, -50, 0, 150, 150, 150
L -300, 50, 0, -500, 50, 0, 150, 150, 150
# West room
L -500, -150, 0, -700, -150, 0, 200, 200, 200
L -700, -150, 0, -700, 150, 0, 200, 200, 200
L -700, 150, 0, -500, 150, 0, 200, 200, 200
L -500, 150, 0, -500, -150, 0, 200, 200, 200
# Zone entrance line
L -100, -400, 0, 100, -400, 0, 199, 21, 133
